id,request total time,cumulative average duration
218,11.5662,7.077551376
219,2.7057,7.057588584
220,2.774,7.038117727
221,2.6679,7.018342986
222,2.7519,6.999124775
223,2.7411,6.980030493
224,12.4182,7.004308036
225,2.7319,6.985319556
226,2.7403,6.966536283
227,2.7696,6.948047577
228,2.7287,6.929541667
229,2.7717,6.911385153
230,2.7939,6.893483043
231,17.9498,6.941345887
232,2.6827,6.922989655
233,2.7058,6.904890129
234,2.7187,6.887000427
235,2.8435,6.869794043
236,2.7018,6.852133051
237,2.678,6.834520675
238,7.3708,6.83677395
239,2.9145,6.820362762
240,2.7349,6.80334
241,2.7437,6.786495021
242,2.7183,6.769684298
243,2.7261,6.753044033
244,5.3075,6.747119672
245,2.7261,6.730707347
246,2.7407,6.714487805
247,2.9871,6.699397166
248,2.7231,6.68336371
249,2.8641,6.668025301
