id,duration
1,2.679275
2,2.577064
3,2.051915
4,1.827682
5,1.960756
6,1.872453
7,1.758427
8,1.773579
9,1.910785
10,1.910742
11,2.668529
12,1.809478
13,1.715805
14,1.950678
15,1.781401
16,2.814043
17,1.680458
18,1.840968
19,1.755415
20,1.854649
21,2.56471
22,1.851211
23,1.866079
24,1.871641
25,1.775479
26,1.940397
27,1.793067
28,2.790727
29,1.74919
30,1.785711
31,1.762297
32,2.049915
33,2.891357
34,1.745987
35,1.824503
36,1.843842
37,2.116115
38,1.931205
39,1.847088
40,2.644236
41,1.755792
42,1.76364
43,1.91242
44,1.847975
45,1.779858
46,1.818635
47,2.794133
48,1.876025
49,2.055509
50,1.710188
51,1.926222
52,1.927163
53,1.770063
54,1.962554
55,2.800035
56,1.860289
57,1.912437
58,1.746495
59,1.735521
60,1.757974
61,1.714745
62,1.714958
63,2.762931
64,1.794706
65,1.774213
66,1.873518
67,1.926957
68,2.061609
69,1.786289
70,1.838534
71,1.878176
72,2.715115
73,1.65981
74,1.866269
75,1.762567
76,1.86125
77,1.784873
78,1.919563
79,1.885911
80,1.928236
81,2.834041
82,1.815208
83,2.018849
84,1.834778
85,2.128512
86,2.009034
87,1.931844
88,1.793374
89,1.862287
90,2.714876
91,1.831069
92,2.028738
93,1.870297
94,1.92071
95,1.897608
96,1.892251
97,1.863156
98,1.866882
99,2.864119
100,1.838094
101,1.789686
102,1.793207
103,3.843103
104,2.232237
105,3.777536
106,2.681875
107,2.168402
108,3.147788
109,2.461107
110,3.772562
111,2.80601
112,3.113224
113,3.446848
114,1.805359
115,3.874561
116,2.836616
117,3.302323
118,3.984214
119,1.682304
120,2.664966
121,2.813364
122,1.801227
123,3.748086
124,4.239462
125,2.643139
126,1.969862
127,1.737152
128,1.811951
129,3.93544
130,1.843761
131,1.869677
132,2.736311
133,1.700718
134,1.838653
135,1.911216
136,1.825863
137,1.96492
138,1.820739
139,1.841627
140,1.731694
141,1.747072
142,1.91289
143,2.682257
144,1.890587
145,1.783207
146,1.837979
147,2.118579
148,1.829599
149,1.882224
150,1.850269
151,1.670887
152,1.836121
153,1.752025
154,2.651514
155,1.733735
156,1.741379
157,1.7606
158,1.82948
159,2.020008
160,1.72009
161,1.987283
162,3.717317
163,3.336079
164,2.77024
165,4.681826
166,4.63084
167,2.634203
168,3.408095
169,5.715685
170,5.610576
171,3.260632
172,2.921161
173,5.404086
174,4.058394
175,2.761912
176,3.990464
177,2.309195
178,1.841314
179,2.015466
180,1.983659
181,2.73511
182,2.073654
183,2.039914
184,1.909155
185,1.821229
186,1.929287
187,1.928409
188,1.874902
189,1.773451
190,1.921552
191,1.916341
192,1.887607
193,2.846002
194,1.763844
195,1.795285
196,2.410051
197,2.020925
198,3.407102
199,2.493325
200,1.777578
201,2.921385
202,1.80903
203,1.710557
204,1.920691
205,1.830728
206,1.835641
207,1.936836
208,3.268802
209,1.95365
210,2.028631
211,1.830042
212,4.715265
213,2.66047
214,1.82033
215,1.958966
216,1.854799
217,1.896301
218,2.193852
219,3.40424
220,3.034778
221,2.565838
222,2.257845
223,1.780044
224,1.903872
225,1.745031
226,1.811615
227,1.829917
228,3.411444
229,2.826737
230,2.401454
231,5.523112
232,3.679843
233,2.86719
234,1.907953
235,2.458711
236,2.3898
237,1.948324
238,1.99423
239,2.11366
240,2.942343
241,2.654435
242,2.883548
243,1.973657
244,2.128458
245,2.010281
246,1.860472
247,1.958515
248,1.910694
249,1.801968
